district,amphoe,province,zipcode,district_code,amphoe_code,province_code
คลองท่อมเหนือ,คลองท่อม,กระบี่,81120,810402,8104,81
คลองท่อมใต้,คลองท่อม,กระบี่,81120,810401,8104,81
คลองพน,คลองท่อม,กระบี่,81170,810403,8104,81
ทรายขาว,คลองท่อม,กระบี่,81170,810404,8104,81
พรุดินนา,คลองท่อม,กระบี่,81120,810406,8104,81
ห้วยน้ำขาว,คลองท่อม,กระบี่,81120,810405,8104,81
เพหลา,คลองท่อม,กระบี่,81120,810407,8104,81
คีรีวง,ปลายพระยา,กระบี่,81160,810604,8106,81
ปลายพระยา,ปลายพระยา,กระบี่,81160,810599,8106,81
เขาต่อ,ปลายพระยา,กระบี่,81160,810598,8106,81
เขาเขน,ปลายพระยา,กระบี่,81160,810597,8106,81
ดินอุดม,ลำทับ,กระบี่,81190,810702,8107,81
ดินแดง,ลำทับ,กระบี่,81190,810704,8107,81
ทุ่งไทรทอง,ลำทับ,กระบี่,81190,810703,8107,81
ลำทับ,ลำทับ,กระบี่,81190,810499,8107,81
คลองยา,อ่าวลึก,กระบี่,81110,810508,8105,81
คลองหิน,อ่าวลึก,กระบี่,81110,810504,8105,81
นาเหนือ,อ่าวลึก,กระบี่,81110,810503,8105,81
บ้านกลาง,อ่าวลึก,กระบี่,81110,810509,8105,81
อ่าวลึกน้อย,อ่าวลึก,กระบี่,81110,810505,8105,81
อ่าวลึกเหนือ,อ่าวลึก,กระบี่,81110,810506,8105,81
อ่าวลึกใต้,อ่าวลึก,กระบี่,81110,810501,8105,81
เขาใหญ่,อ่าวลึก,กระบี่,81110,810507,8105,81
แหลมสัก,อ่าวลึก,กระบี่,81110,810502,8105,81
คลองยาง,เกาะลันตา,กระบี่,81120,810304,8103,81
ศาลาด่าน,เกาะลันตา,กระบี่,81150,810305,8103,81
เกาะกลาง,เกาะลันตา,กระบี่,81120,810303,8103,81
เกาะลันตาน้อย,เกาะลันตา,กระบี่,81150,810302,8103,81
เกาะลันตาใหญ่,เกาะลันตา,กระบี่,81150,810301,8103,81
พรุเตียว,เขาพนม,กระบี่,81140,810204,8102,81
สินปุน,เขาพนม,กระบี่,80240,810203,8102,81
หน้าเขา,เขาพนม,กระบี่,81140,810205,8102,81
เขาดิน,เขาพนม,กระบี่,81140,810202,8102,81
เขาพนม,เขาพนม,กระบี่,81140,810201,8102,81
โคกหาร,เขาพนม,กระบี่,80240,810206,8102,81
กระบี่น้อย,เมืองกระบี่,กระบี่,81000,810103,8101,81
กระบี่ใหญ่,เมืองกระบี่,กระบี่,81000,810102,8101,81
คลองประสงค์,เมืองกระบี่,กระบี่,81000,810118,8101,81
ทับปริก,เมืองกระบี่,กระบี่,81000,810111,8101,81
ปากน้ำ,เมืองกระบี่,กระบี่,81000,810101,8101,81
หนองทะเล,เมืองกระบี่,กระบี่,81180,810117,8101,81
อ่าวนาง,เมืองกระบี่,กระบี่,81000,810116,8101,81
เขาคราม,เมืองกระบี่,กระบี่,81000,810105,8101,81
เขาทอง,เมืองกระบี่,กระบี่,81000,810106,8101,81
ไสไทย,เมืองกระบี่,กระบี่,81000,810115,8101,81
คลองขนาน,เหนือคลอง,กระบี่,81130,810107,8108,81
คลองเขม้า,เหนือคลอง,กระบี่,81130,810108,8108,81
ตลิ่งชัน,เหนือคลอง,กระบี่,81130,810110,8108,81
ปกาสัย,เหนือคลอง,กระบี่,81130,810112,8108,81
ห้วยยูง,เหนือคลอง,กระบี่,81130,810113,8108,81
เกาะศรีบอยา,เหนือคลอง,กระบี่,81130,810104,8108,81
เหนือคลอง,เหนือคลอง,กระบี่,81130,810114,8108,81
โคกยาง,เหนือคลอง,กระบี่,81130,810109,8108,81
คลองต้นไทร,คลองสาน,กรุงเทพมหานคร,10600,101804,1018,10
คลองสาน,คลองสาน,กรุงเทพมหานคร,10600,101599,1018,10
บางลำภูล่าง,คลองสาน,กรุงเทพมหานคร,10600,101803,1018,10
สมเด็จเจ้าพระยา,คลองสาน,กรุงเทพมหานคร,10600,101801,1018,10
ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,10510,101004,1046,10
ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,10510,101005,1046,10
บางชัน,คลองสามวา,กรุงเทพมหานคร,10510,101003,1046,10
สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,10510,101007,1046,10
สามวาตะวันออก,คลองสามวา,กรุงเทพมหานคร,10510,101006,1046,10
คลองตัน,คลองเตย,กรุงเทพมหานคร,10110,100902,1033,10
คลองเตย,คลองเตย,กรุงเทพมหานคร,10110,100901,1033,10
พระโขนง,คลองเตย,กรุงเทพมหานคร,10110,100903,1033,10
พระโขนง,คลองเตย,กรุงเทพมหานคร,10260,100903,1033,10
คันนายาว,คันนายาว,กรุงเทพมหานคร,10230,100606,1043,10
รามอินทรา,คันนายาว,กรุงเทพมหานคร,10230,False,1043,10
จตุจักร,จตุจักร,กรุงเทพมหานคร,10900,103005,1030,10
จอมพล,จตุจักร,กรุงเทพมหานคร,10900,103004,1030,10
จันทรเกษม,จตุจักร,กรุงเทพมหานคร,10900,103003,1030,10
ลาดยาว,จตุจักร,กรุงเทพมหานคร,10900,100501,1030,10
เสนานิคม,จตุจักร,กรุงเทพมหานคร,10900,103002,1030,10
จอมทอง,จอมทอง,กรุงเทพมหานคร,10150,102102,1035,10
บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150,102103,1035,10
บางค้อ,จอมทอง,กรุงเทพมหานคร,10150,102101,1035,10
